#,Name,Rating,Date,Age
1,"Carlsen, Magnus",2840,2026 Jan,35
2,"Nakamura, Hikaru",2810,2026 Jan,38
3,"Caruana, Fabiano",2795,2026 Jan,33
4,"Keymer, Vincent",2776,2026 Jan,21
5,Erigaisi Arjun,2775,2026 Jan,22
6,"Giri, Anish",2760,2026 Jan,31
7,"Firouzja, Alireza",2759,2026 Jan,22
8,Praggnanandhaa R,2758,2026 Jan,20
9,Gukesh D,2754,2026 Jan,19
10,"Wei, Yi",2754,2026 Jan,26
1,"Carlsen, Magnus",2831,2025 Jan,34
2,"Caruana, Fabiano",2803,2025 Jan,32
3,"Nakamura, Hikaru",2802,2025 Jan,37
4,Erigaisi Arjun,2801,2025 Jan,21
5,Gukesh D,2777,2025 Jan,18
6,"Abdusattorov, Nodirbek",2768,2025 Jan,20
7,"Firouzja, Alireza",2763,2025 Jan,21
8,"Nepomniachtchi, Ian",2754,2025 Jan,34
9,"Wei, Yi",2751,2025 Jan,25
10,"Anand, Viswanathan",2750,2025 Jan,55
1,"Carlsen, Magnus",2830,2024 Jan,33
2,"Caruana, Fabiano",2804,2024 Jan,31
3,"Nakamura, Hikaru",2788,2024 Jan,36
4,"Ding, Liren",2780,2024 Jan,31
5,"Nepomniachtchi, Ian",2769,2024 Jan,33
6,"Firouzja, Alireza",2759,2024 Jan,20
7,"So, Wesley",2757,2024 Jan,30
8,"Dominguez Perez, Leinier",2752,2024 Jan,40
9,"Karjakin, Sergey",2750,2024 Jan,33
10,"Giri, Anish",2749,2024 Jan,29
1,"Carlsen, Magnus",2859,2023 Jan,32
2,"Ding, Liren",2811,2023 Jan,30
3,"Nepomniachtchi, Ian",2793,2023 Jan,32
4,"Firouzja, Alireza",2785,2023 Jan,19
5,"Nakamura, Hikaru",2768,2023 Jan,35
6,"Caruana, Fabiano",2766,2023 Jan,30
7,"Giri, Anish",2764,2023 Jan,28
8,"So, Wesley",2760,2023 Jan,29
9,"Anand, Viswanathan",2754,2023 Jan,53
10,"Karjakin, Sergey",2747,2023 Jan,32
1,"Carlsen, Magnus",2865,2022 Jan,31
2,"Firouzja, Alireza",2804,2022 Jan,18
3,"Ding, Liren",2799,2022 Jan,29
4,"Caruana, Fabiano",2792,2022 Jan,29
5,"Nepomniachtchi, Ian",2773,2022 Jan,31
6,"Aronian, Levon",2772,2022 Jan,39
7,"Giri, Anish",2772,2022 Jan,27
8,"So, Wesley",2772,2022 Jan,28
9,"Mamedyarov, Shakhriyar",2767,2022 Jan,36
10,"Grischuk, Alexander",2764,2022 Jan,38
