FIDE ID,Name,Title,Tr.T.,Fed,Std.,Rpd.,Blz.,B-Year
1503014,"Carlsen, Magnus",GM,,NOR,2840,2832,2869,1990
4100018,"Kasparov, Garry",GM,FST,RUS,2812,2783,2712,1963
2016192,"Nakamura, Hikaru",GM,,USA,2792,2742,2838,1987
2020009,"Caruana, Fabiano",GM,,USA,2788,2727,2749,1992
14204118,"Abdusattorov, Nodirbek",GM,,UZB,2780,2703,2785,2004
14205483,"Sindarov, Javokhir",GM,,UZB,2776,2727,2662,2005
24116068,"Giri, Anish",GM,,NED,2767,2689,2666,1994
12940690,"Keymer, Vincent",GM,,GER,2759,2627,2621,2004
12573981,"Firouzja, Alireza",GM,,FRA,2759,2755,2796,2003
5202213,"So, Wesley",GM,,USA,2754,2705,2798,1993
8603405,"Wei, Yi",GM,,CHN,2753,2726,2698,1999
4101588,"Kramnik, Vladimir",GM,,RUS,2753,2700,2670,1975
35009192,Erigaisi Arjun,GM,,IND,2751,2741,2776,2003
14109603,"Karjakin, Sergey",GM,,RUS,2750,2687,2649,1990
5000017,"Anand, Viswanathan",GM,FST,IND,2739,2729,2704,1969
1170546,"Duda, Jan-Krzysztof",GM,,POL,2739,2683,2743,1998
8603677,"Ding, Liren",GM,,CHN,2738,2716,2757,1992
1039784,"Van Foreest, Jorden",GM,,NED,2735,2595,2690,1999
25059530,Praggnanandhaa R,GM,,IND,2733,2663,2698,2005
46616543,Gukesh D,GM,,IND,2732,2682,2646,2006
3503240,"Dominguez Perez, Leinier",GM,,USA,2732,2696,2594,1983
12401137,"Le, Quang Liem",GM,FST,VIE,2731,2636,2683,1991
738590,"Rapport, Richard",GM,,HUN,2729,2676,2625,1996
4168119,"Nepomniachtchi, Ian",GM,,RUS,2729,2726,2765,1990
2093596,"Niemann, Hans Moke",GM,,USA,2728,2646,2699,2003
13300474,"Aronian, Levon",GM,,USA,2724,2730,2740,1982
25092340,Nihal Sarin,GM,,IND,2723,2689,2723,2004
2056437,"Liang, Awonder",GM,,USA,2718,2522,2580,2003
13401319,"Mamedyarov, Shakhriyar",GM,,AZE,2717,2707,2632,1985
623539,"Vachier-Lagrave, Maxime",GM,,FRA,2717,2735,2761,1990
12521213,"Tabatabaei, M. Amin",GM,,IRI,2714,2593,2586,2001
8603820,"Yu, Yangyi",GM,,CHN,2714,2660,2707,1994
12539929,"Maghsoodloo, Parham",GM,,IRI,2710,2666,2625,2000
4158814,"Andreikin, Dmitry",GM,,FID,2710,2686,2688,1990
5029465,"Vidit, Santosh Gujrathi",GM,,IND,2708,2638,2688,1994
44599790,"Erdogmus, Yagiz Kaan",GM,,TUR,2708,2493,2546,2011
24130737,"Fedoseev, Vladimir",GM,,SLO,2700,2690,2756,1995
2040506,"Sevian, Samuel",GM,,USA,2696,2664,2677,2000
2900084,"Topalov, Veselin",GM,,BUL,2695,2607,2627,1975
400173,"Sadler, Matthew D",GM,,ENG,2694,2673,2646,1974
24651516,"Bluebaum, Matthias",GM,,GER,2694,2587,2634,1997
5072786,"Aravindh, Chithambaram VR.",GM,,IND,2692,2576,2550,1999
14203987,"Yakubboev, Nodirbek",GM,,UZB,2689,2568,2584,2002
13400924,"Radjabov, Teimour",GM,,AZE,2689,2646,2676,1987
8602883,"Wang, Hao",GM,,CHN,2684,2667,2639,1989
24175439,"Esipenko, Andrey",GM,,RUS,2684,2657,2651,2002
4122356,"Jakovenko, Dmitry",GM,,RUS,2682,2661,2624,1983
4102142,"Svidler, Peter",GM,,FID,2682,2680,2695,1976
4147235,"Tomashevsky, Evgeny",GM,,RUS,2681,2636,2613,1987
702293,"Almasi, Zoltan",GM,,HUN,2677,2599,2585,1976
